repository,language,architecture,community,continuous_integration,documentation,history,issues,license,size,unit_test,stars,scorebased_org,randomforest_org,scorebased_utl,randomforest_utl
dwright213/twitter_gets_no_love,Ruby,0.224138,2,0,0.506827,0,0,0,840,0.285714,0,0,0,1,0
ivanaramaaa/portfolio,Ruby,0.064516,1,0,0.484802,0,0,0,402,0.069231,0,0,0,1,0
LikeLikeAteMyShield/StandardFactoryPattern,Java,1,1,0,0,0,0,0,806,0,0,0,0,0,0
cmvanb/Snipe,C#,0.857143,1,0,0.035654,0,0,0,1704,0,0,0,0,0,0
ryanmccarthypdx/3_30_2015,Ruby,0.186441,1,0,0.508306,0,0,0,819,0.12766,0,0,0,1,0
mitchellFlorman/Sailing_Adventures,Java,1,1,0,0.159624,0,0,0,180,0,0,0,0,0,0
jogold9/WeatherBuddy,Java,1,1,0,0.036866,0,0,0,4913,0,0,0,0,0,0
ric113/Course-Compiler,Java,0.666667,2,0,0.095053,0,0,0,934,0,0,0,0,1,0
jklmaynard/Quacker,Ruby,0.210526,2,0,0.517413,0,0,0,856,0.151899,0,0,0,1,0
xianc/Search-Engine,Java,1,1,0,0.044335,0,0,0,194,0,0,0,0,0,0
tinaramsey87/tweedler,Ruby,0.25,2,0,0.498397,0,0,0,740,0.135542,0,0,0,1,0
haveacookieonme/SailingAdventures,Java,0.8,1,0,0.683156,0,0,0,2230,0,0,0,0,0,0
shimran/RentViz,Ruby,0.038462,2,0,0.459416,0,0,0,345,0,0,0,0,1,0
MikeLydeamore/CoFHCore,Java,0.919355,3,0,0.023273,0,0,1,9384,0,0,0,0,1,0
erito/cameraview,Java,0.25,1,0,0.109827,0,0,1,524,0,0,0,0,1,1
kean0212/experimentOne,Java,0.5,1,0,0.136752,0,0,0,103,0,0,0,0,0,0
RafaGS/SimpleDmp,C++,1,1,0,0.142599,0,0,1,477,0,0,0,0,1,1
guineawheek/fceugc,C++,0.907186,1,0,0.144864,0,0,1,61299,0.036741,0,0,0,1,0
tuanhq/cms-6x17,Java,0.928571,1,0,0.048214,0,0,0,9831,0,0,0,0,0,0
mgoren/tweedler,Ruby,0.25,2,0,0.498397,0,0,0,740,0.135542,0,0,0,1,0
android-ia/platform_tools_base,Java,0.983259,5,0,0.269738,100,0,1,156502,0.092235,0,1,0,1,1
darkfireIEstudios/squarechase,C#,0.333333,1,0,0.097561,0,0,0,382,0,1,0,0,0,0
LikeLikeAteMyShield/AbstractFactoryPattern,Java,1,1,0,0,0,0,0,934,0,0,0,0,0,0
buddhistic/omrails,Ruby,0.076923,1,0,0.462312,0,0,0,333,0.050847,0,0,0,1,0
upendralingareddygari/NearestNeighbor,Java,1,1,0,0.129921,0,0,1,256,0,0,0,0,1,1
benjaminnewmark/bn-one-month-stripe-payments,Ruby,0.264706,1,0,0.190519,0,0,0,16342,0.047297,0,0,0,1,0
tiagoletsgo/SystemHorto,Java,0.1,1,0,0.109589,0,0,0,782,0,0,0,0,0,0
xianc/MapReduce-w-Threads-Semaphores,Java,0,1,0,0.227488,0,0,0,163,0,0,0,0,0,0
ipatovanton/trendmedia,Ruby,0.208791,1,0,0.208061,0,0,0,4154,0,0,0,0,0,0
croftp2/haikugrep,Python,0,2,0,0.060241,0,0,1,81,0,0,0,0,1,0
luisedtr07/v4boilerplate,Ruby,0.333333,1,0,0.476543,0,0,0,236,0,0,0,0,0,0
simongle/prime-factors,Python,0,1,0,0.428571,0,0,0,31,0,0,0,0,0,0
englep10/BEWD_Final_Project,Ruby,0.076923,1,0,0.50384,0,0,0,336,0.050847,0,0,0,1,0
damien/prime_challenge,Ruby,0.833333,1,1,0.053215,0,0,0,1298,0.431734,0,0,0,1,0
mtakac/tasks,Ruby,0.923077,1,0,0.320755,0,0,0,252,0.734127,0,0,0,1,0
hoyjustin/ScopusAdapter,Python,0.894737,4,0,0.120421,6.833333,0,1,1922,0.042276,0,1,0,1,1
varadskarmarkar/RampUp,Ruby,0.111111,1,0,0,0,0,0,81,0,0,0,0,0,0
devilicecream/pymorm,Python,0.666667,1,0,0.032468,0,0,1,183,0.187919,2,0,0,1,0
android-ia/packages_apps_Superuser,C,0.9,4,0,0.364056,0,0,1,93132,0.97219,0,1,0,1,0
